josé mourinho	mourinho
424937004938579969	RT @SamWallaceIndy: MUFC fans sing: 'Jose Mourinho, you wanted the job'  Mourinho waves back at them	29267341
427511291528220672	Matic - José Mourinho - Mourinho: «Matic permite à equipa voar»: http://t.co/VRCBguZqr5 via @twitterapi	65363635
441554365279920128	Exclusive interview with José Mourinho - mourinhoforyahoo: Mourinho assina pela Yahoo http://t.co/HEAl1ehw4d	16630589
453642181379506176	RT @luanabyshrp: José Mourinho is such a BOSS! #mourinho #ChelseaPSG #CFCPSG #chelsea #awesome #ChampionsLeague	2409403880
453641822095409152	José Mourinho is such a BOSS! #mourinho #ChelseaPSG #CFCPSG #chelsea #awesome #ChampionsLeague	14390848
461580841995747328	RT @MiguelDelaney: Atletico fans singing 'Jose Mourinho, hijo de puta' again. Mourinho stands impassively.	33050022
475929795847782400	José Mourinho brilha num amigável em Old Trafford  #mou #mourinho #specialone http://t.co/BfyWicqiw8	31594288
474144165786558465	Os prognósticos de José Mourinho  #fifawc2014 #brasil2014 #mourinho #portugal http://t.co/1YAMfg4o5f	31594288
478137914078285824	RT @OldSchoolPanini: Felix MOURINHO and José MOURINHO #HappyFathersDay http://t.co/PC5EwlBoGB	17589797
478136746425978880	RT @OldSchoolPanini: Felix MOURINHO and José MOURINHO #HappyFathersDay http://t.co/PC5EwlBoGB	14166909
480860115302887425	Mourinho para 1º-ministro? @lfrancobastos Demoras muito, José Mourinho? Há um país que precisa de ti.	46853153
521262374788272128	José Mourinho recusou duas vezes tornar-se treinador do PSG #Mourinho #PSG http://t.co/fkxVavToTb	31594288
511164200195203072	José Mourinho esta noite no «Contragolpe» (TVI24) http://t.co/0WACzmqma6 #mourinho	222225064
519079936167251968	DANIEL ALVES sobre JOSÉ MOURINHO : "Mourinho não inventou o futebol, ele não descobriu nada". +	190246044
491646223326388224	José Mourinho: «Estamos prontos para ganhar a Premier Premier League»   #Mourinho #Chelsea http://t.co/u9S9uYaFLJ	31594288
528251274073219072	|José Mourinho - Internacional - Mourinho ao Maisfutebol: «Não mereço a Bola de Ouro» ||... http://t.co/pVf82z5ATZ|	144891555
532623132029227008	RT @SLBenfica_FR: José Mourinho pense à Anderson Talisca pour remplacer Didier Drogba #CarregaBenfica #Chelsea #Mourinho #Drogba	126978294
517085707345874946	Fàbregas pediu a José Mourinho para ficar em Lisboa.  #Fàbregas #Mourinho #Sporting #Chelsea http://t.co/1fo4I6GHq2	51425647
537025364187688961	José Mourinho caminha para época de sonho #Mourinho #SpecialOne #Chelsea #BarclaysPremierLeague http://t.co/Xh8YuXQ6cV	31594288
595721698898489344	Só mesmo José Mourinho consegue uma coisa destas 󾰀  #Ídolo #Mourinho #JoséMourinho #OMelhordoMundo #DoaaquemDoer... http://t.co/6N34uayCWB	24923201
584443530464129024	Chelsea vs Stoke 2 : 1 - Jose Mourinho post-match interview: https://t.co/fqzQTnmJke #CFC #Mourinho	16188219
